Original Name,Gender,Description,Location
IDETTE,female,"French pet form of Norman Germanic Ida , meaning `` work . ''",French
IGERNE,female,"French form of Latin Igerna , meaning `` maiden , virgin . ''",French
IGRAINE,female,"Modern form of French Igerne , a form of Welsh Eigyr , meaning `` maiden , virgin . '' In Arthurian legend , this is the name of the wife of Uther Pendragon , the mother of Elaine , Morgan le Fay ( Morgause ) , and King Arthur . While still married to Gorlois , her first husband , Uther falls in love with her and makes forceful advances . She tells Gorlois who takes her to Cornwall without asking the king 's leave , giving Uther an excuse to make war on Gorlois",French
INÈS,female,"French form of English Agnes , meaning `` chaste ; holy . ''",French
IRÈNE,female,"French form of Latin Irene , meaning `` peace . ''",French
IRÉNÉE,female,"Feminine form of French Iréné , meaning `` peaceful . ''",French
ISABELLE,female,"French form of Latin Isabella , meaning `` God is my oath . '' In Arthurian legend , Isabelle of Cornwall is the name of the mother of Tristan",French
ISEULT,female,"Medieval French form of English Isolde , meaning `` ice battle . '' In Arthurian legend , this is the name a tragic princess who was the mistress of Tristram",French
JACINTHE,female,"French form of Latin Jacinthus , meaning `` hyacinth flower . ''",French
JACQUELINE,female,"Feminine form of French Jacques , meaning `` supplanter . ''",French
JACQUETTE,female,"Pet form of French Jacqueline , meaning `` supplanter . ''",French
JACQUI,female,"Pet form of French Jacqueline , meaning `` supplanter . ''",French
JACQUIE,female,"Pet form of French Jacqueline , meaning `` supplanter . ''",French
JEANETTE,female,"Pet form of French Jeanne , meaning `` God is gracious . ''",French
JEANNE,female,"Modern form of Anglo-Norman French Jehane , meaning `` God is gracious . ''",French
JEANNETTE,female,"Variant spelling of French Jeanette , meaning `` God is gracious . ''",French
JEANNINE,female,"Pet form of French Jeanne , meaning `` God is gracious . ''",French
JEHANE,female,"Feminine form of Anglo-Norman French Jehan , meaning `` God is gracious . ''",French
JEHANNE,female,"Variant spelling of Anglo-Norman French Jehane , meaning `` God is gracious . ''",French
JESSAMOND,female,"Middle French form of Latin Jessamine , meaning `` jasmine flower , '' a plant in the olive family",French
JEUNESSE,female,French name meaning `` youth . '',French
JOËLLE,female,"Feminine form of French Joël , meaning `` Jehovah is God '' or `` to whom Jehovah is God . ''",French
JOHANNE,female,"Old French feminine form of Latin Johannes , meaning `` God is gracious . '' Compare with another form of Johanne",French
JOLENE,female,"Pet form of French Jolie , meaning `` pretty . ''",French
JOLIE,female,French name meaning `` pretty . '',French
JOSÉE,female,"French feminine form of Latin Josephus , meaning `` ( God ) shall add ( another son ) . ''",French
JOSÈPHE,female,"French form of Latin Josephina , meaning `` ( God ) shall add ( another son ) . ''",French
JOSÉPHINE,female,"French form of Latin Josephina , meaning `` ( God ) shall add ( another son ) . ''",French
JOSETTE,female,"Pet form of French Joséphine , meaning `` ( God ) shall add ( another son ) . ''",French
JOSIANE,female,"Pet form of French Joséphine , meaning `` ( God ) shall add ( another son ) . ''",French
JULIANE,female,"French and German feminine form of Roman Latin Julianus , meaning `` descended from Jupiter ( Jove ) . ''",French
JULIE,female,"French form of Roman Latin Julia , meaning `` descended from Jupiter ( Jove ) . ''",French
JULIENNE,female,"Feminine form of French Julien , meaning `` descended from Jupiter ( Jove ) . ''",French
JULIET,female,"Pet form of French Julie , meaning `` descended from Jupiter ( Jove ) . ''",French
JULIETTE,female,"Pet form of French Julie , meaning `` descended from Jupiter ( Jove ) . ''",French
LAUDINE,female,"French name , possibly a diminutive form of Latin laude ( `` praise '' ) , hence `` little praiseworthy one . '' In Arthurian legend , Laudine is known as the Lady of the Fountain , the ruler of the mystical Castle of Landuc near a magical spring in Broceliande Forest guarded by her husband Esclados . When water from this magic spring was poured onto a nearby basin , a huge storm would begin . Calogrenant did this and was beaten for it . To avenge his cousin , Ywain killed Esclados . He fell instantly in love with Laudine the moment he saw her . Laudine 's servant Lunete talked her into marrying him",French
LAURE,female,"French form of Latin Laura , meaning `` laurel . ''",French
LAURENTINE,female,"Feminine form of French Laurentin , meaning `` of Laurentum . ''",French
LAURETTE,female,"Diminutive form of French Laure ( `` laurel '' ) , meaning `` little laurel tree . ''",French
LÉA,female,"French form of Hebrew Leah , meaning `` weary . ''",French
LÉONE,female,"Feminine form of French L�on , meaning `` lion . ''",French
LÉONIE,female,"Feminine form of French L�on , meaning `` lion . ''",French
LÉONNE,female,"Feminine form of French L�on , meaning `` lion . ''",French
LÉONOIS,female,"French name , possibly meaning `` lion island . '' In Arthurian legend , this is the name of the sister of Lynette and wife of Gareth . It is also the name of the birth place of Tristan",French
LÉONTINE,female,"French form of Roman Latin Leontina , meaning `` lion-like . ''",French
LIANE,female,"Short form of French Éliane , meaning `` sun . ''",French
LIANNE,female,"Pet form of French Éliane , meaning `` sun . ''",French
LILIANE,female,"French form of Latin Liliana , meaning `` lily . ''",French
LISETTE,female,"Pet form of French Élisabeth , meaning `` God is my oath . ''",French
LORRAINE,female,"French surname transferred to forename use , from the name of a French province , Lorraine , from Latin Lotharingia , meaning `` land of the people of Lothar . '' In use by the English and Scottish",French
LOTTE,female,"Short form of French Charlotte , meaning `` man . '' Compare with another form of Lotte",French
LOTTIE,female,"Pet form of French Charlotte , meaning `` man . ''",French
LOUISE,female,"Feminine form of French Louis , meaning '' famous warrior . ''",French
LOURDES,female,"From the French place name , of unknown meaning . This is where a shrine was erected for Bernadette Soubirous who had visions of the Virgin Mary",French
LUCE,female,"Feminine form of French Luc , meaning `` from Lucania . ''",French
LUCETTE,female,"Diminutive form of French Lucie ( `` light '' ) , meaning `` little light . ''",French
LUCIE,female,"French form of Roman Latin Lucia , meaning `` light . ''",French
LUCIENNE,female,"Feminine form of French Lucien , meaning `` light . ''",French
LUCILLE,female,"French form of Roman Latin Lucilla , meaning `` little light . ''",French
LUCINDE,female,"French form of Spanish Lucinda , meaning `` light . ''",French
LUCRECE,female,"French form of Roman Latin Lucretia , possibly meaning `` wealthy . ''",French
LUDIVINE,female,"French name , possibly meaning `` divine light . ''",French
LULA,female,"Pet form of French Louise , meaning `` famous warrior . '' Compare with another form of Lula",French
LUNETE,female,"French form of Welsh Luned , meaning `` idol , image . ''",French
LYDIE,female,"French form of Greek Lydia , meaning `` of Lydia . ''",French
MADDIE,female,"Pet form of French Madeline , meaning `` of Magdala . ''",French
MADELAINE,female,"Variant spelling of French Madeleine , meaning `` of Magdala . ''",French
MADELEINE,female,"French form of Latin Madelina , meaning `` of Magdala . ''",French
MADELINE,female,"Variant spelling of French Madeleine , meaning `` of Magdala . ''",French
MAGALI,female,"Possibly a pet form of French Marguerite , meaning `` pearl . ''",French
MAGALIE,female,"Possibly a pet form of French Marguerite , meaning `` pearl . ''",French
MAHAUT,female,"Medieval form of Norman French Mathilde , meaning `` mighty in battle . ''",French
MANON,female,"Pet form of French Marie , meaning `` obstinacy , rebelliousness '' or `` their rebellion . ''",French
MARCELINE,female,"Feminine form of French Marcel , meaning `` defense '' or `` of the sea . ''",French
MARCELLE,female,"Feminine form of French Marcel , meaning `` defense '' or `` of the sea . ''",French
MARCELLETTE,female,"Pet form of French Marcelle , meaning `` defense '' or `` of the sea . ''",French
MARCELLINE,female,"Feminine form of French Marcellin , meaning `` defense '' or `` of the sea . ''",French
MARGAUX,female,"Variant spelling of French Margot , meaning `` pearl . ''",French
MARGOT,female,"Pet form of French Marguerite , meaning `` pearl . ''",French
MARGUERITE,female,"French form of Latin Margarita , meaning `` pearl . ''",French
MARIAN,female,"Medieval variant spelling of French Marion , meaning `` little rebel . '' Compare with masculine Marian",French
MARIANNE,female,"French form of Latin Marianna , meaning `` like Marius . ''",French
MARIE,female,"French form of Latin Maria , meaning `` obstinacy , rebelliousness '' or `` their rebellion . ''",French
MARIELLE,female,"Pet form of French Marie , meaning `` obstinacy , rebelliousness '' or `` their rebellion . ''",French
MARIETTE,female,"Diminutive form of French Marie , meaning `` little rebel . ''",French
MARINE,female,"Feminine form of French Marin , meaning `` of the sea . ''",French
MARION,female,"Medieval diminutive form of French Marie ( `` obstinacy , rebelliousness '' or `` their rebellion '' ) , hence `` little rebel . '' Compare with masculine Marion",French
MARJOLAINE,female,French spice name meaning `` marjoram . '',French
MARQUITE,female,"French name meaning `` awning , canopy . ''",French
MARTHE,female,"French and German form of Greek Martha , meaning `` lady , mistress . ''",French
MARTINE,female,"French feminine form of Latin Martinus , meaning `` of/like Mars . ''",French
MATHILDE,female,"Norman French form of Latin Mathilda , meaning `` mighty in battle . '' Compare with another form of Mathilde",French
MATILDE,female,"Variant spelling of Norman French Mathilde , meaning `` mighty in battle . '' Compare with other forms of Matilde",French
MAUDE,female,"Pet form of Norman French Mathilde , meaning `` mighty in battle . ''",French
MAXIMILIENNE,female,"Feminine form of French Maximilien , meaning `` the greatest rival . ''",French
MÉDÉE,female,"French form of Latin Medea , meaning `` cunning . ''",French
MEGANE,female,"French form of Welsh Megan , meaning `` pearl . ''",French
MÉLANIE,female,"French form of Latin Melaena , meaning `` black , dark . ''",French
MELISANDE,female,"Modern French form of Old Norman French Melisende , meaning `` strong worker . ''",French
MELISENDE,female,"Variant spelling of Norman French Melisent , meaning `` strong worker . ''",French
MELISENT,female,"Norman French form of Teutonic Malasintha , meaning `` strong worker . ''",French
MÉLISSA,female,"French form of Greek Melissa , meaning `` honey-sap . ''",French
MÉRAUD,female,"French surname transferred to forename use , derived from the word emeraude , meaning `` emerald . ''",French
MICHÈLE,female,"Feminine form of French Michel , meaning `` who is like God ? ''",French
MICHELINE,female,"Pet form of French Michèle , meaning `` who is like God ? ''",French
MICHELLE,female,"Feminine form of French Michel , meaning `` who is like God ? ''",French
MIRABELLE,female,"French form of Latin Mirabella , meaning `` wonderful . ''",French
MIREILLE,female,"Pet form of French Provençal Mireio , meaning `` to admire . ''",French
MIREIO,female,"French Provençal name , probably derived from the word mirar , meaning `` to admire . ''",French
MODESTINE,female,"Feminine form of French Modeste , meaning `` moderate , sober . ''",French
MONIQUE,female,"French form of Latin Monica , possibly meaning `` advise , counsel . ''",French
MORGAINE,female,"French form of the Welsh Morgan , probably meaning `` sea circle . ''",French
MORGAUSE,female,"French form of Latin Orcades , meaning `` Isles of Orkney . '' In Arthurian legend , this is Arthur 's half-sister , the daughter of Gorlois and Igraine . She was known as `` Queen of the Orcades '' and was wife to King Lot who was an enemy of Arthur . She slept with Arthur , producing Mordred , who later brought about Camelot 's downfall",French
NADINE,female,"Pet form of French Nâdiya , meaning `` hope . ''",French
NÂDIYA,female,"French form of Russian Nadya , meaning `` hope . ''",French
NATHALIE,female,"French form of Latin Natalia , meaning `` birthday , '' or in Church Latin `` Christmas day . ''",French
NEVA,female,"Short form of French Geneva , possibly meaning `` race of women . '' Compare with other forms of Neva",French
NICOLE,female,"Feminine form of French Nicolas , meaning `` victor of the people . ''",French
NICOLETTE,female,"Pet form of French Nicole , meaning `` victor of the people . ''",French
NINA,female,"Pet form of French Anne , meaning `` favor ; grace . '' Compare with other forms of Nina",French
NINETTE,female,"Diminutive form of French Nina , meaning `` favor ; grace . ''",French
NINON,female,"Diminutive form of French Nina , meaning `` favor ; grace . ''",French
NOËLE,female,"Feminine form of French Noël , meaning `` day of birth . ''",French
NOËLLE,female,"Feminine form of French Noël , meaning `` day of birth . ''",French
NOÉMIE,female,"French form of Hebrew No'omiy , meaning `` my delight , my pleasantness . ''",French
NORBERTA,female,"Feminine form of Old French Norbert , meaning `` bright northman '' or `` famous northman . ''",French
OCÉANE,female,"French name derived from the vocabulary word océan , from Latin Oceanus , from Greek Okeanos , meaning `` ocean . ''",French
ODETTE,female,"Feminine diminutive form of French Oda , meaning `` little wealthy one . ''",French
ODILE,female,"Feminine form of French Odilon , meaning `` wealthy . ''",French
ODILLE,female,"Variant spelling of French Odile , meaning `` wealthy . ''",French
OLIVIE,female,"Feminine form of French Olivier , probably meaning `` elf army . ''",French
OLYMPE,female,"French form of Greek Olympia , meaning `` of Olympus . ''",French
ORABELLE,female,"French form of Italian Orabella , meaning `` golden beautiful . ''",French
ORIANE,female,"French from of Latin Oriana , possibly meaning `` golden . ''",French
ORIANNE,female,"Variant spelling of French Oriane , possibly meaning `` golden . ''",French
OSANNE,female,"French form of Greek Hōsanna , meaning `` deliver us . ''",French
OUIDA,female,"Pet form of French Louise , meaning `` famous warrior . ''",French
OZANNE,female,"Variant spelling of French Osanne , meaning `` deliver us . ''",French
PASCALE,female,"Feminine form of French Pascal , meaning `` Passover ; Easter . ''",French
PASCALINE,female,"Pet form of French Pascale , meaning `` Passover ; Easter . ''",French
PAULE,female,"French feminine form of English/French Paul , meaning `` small . ''",French
PAULETTE,female,"Pet form of French Paule , meaning `` small . ''",French
PAULINE,female,"French form of Latin Paulina , meaning `` small . ''",French
PÉNÉLOPE,female,"French form of Latin Penelope , meaning `` weaver of cunning . ''",French
PERRINE,female,"Feminine form of French Perrin , meaning `` rock , stone . ''",French
PHILIPPINE,female,"Feminine form of French Philippe , meaning `` lover of horses . ''",French
PIERRETTE,female,"Feminine form of French Pierre , meaning `` rock , stone . ''",French
PLACIDE,female,"French form of Latin Placida , meaning `` calm , placid . ''",French
PLAISANCE,female,Old French name meaning `` pleasant . '',French
RADELLE,female,"French name of German origin , meaning `` counsel . ''",French
RAIMUNDE,female,"Feminine form of Norman French Raimund , meaning `` wise protector . ''",French
RAYMONDE,female,"Feminine form of French Raimond , meaning `` wise protector . ''",French
RÉBECCA,female,"French form of Greek Rhebekka , meaning `` ensnarer . ''",French
RÉGINE,female,"French form of Latin Regina , meaning `` queen . ''",French
REINE,female,"French form of Latin Regina , meaning `` queen . '' Compare with another form of Reine",French
RENÉE,female,"Feminine form of French René , meaning `` reborn . ''",French
RIVA,female,"Old French name meaning `` bank , coast . '' Compare with another form of Riva",French
ROBERTE,female,"Feminine form of Norman French Robert , meaning `` bright fame . ''",French
ROCHELLE,female,"Feminine form of French Roch , meaning `` rest . ''",French
ROMAINE,female,"Feminine form of French Romain , meaning `` Roman . ''",French
ROSAIRE,female,French name meaning `` rosary . '',French
ROSALIE,female,"French form of Latin Rosalia , meaning `` rose . ''",French
ROSELLE,female,"French pet form of Latin Rosa , meaning `` rose . ''",French
ROSEMONDE,female,"French form of German Rosamund , meaning `` horse-protection . ''",French
ROSETTE,female,"French diminutive form of Latin Rosa , meaning `` little rose . ''",French
ROSINE,female,"French pet form of Latin Rosa , meaning `` rose . ''",French
ROXANE,female,"French form of Latin Roxana , meaning `` dawn . ''",French
ROXANNE,female,"Variant spelling of French Roxane , meaning `` dawn . '' This is the preferred spelling used by the English",French
SABINE,female,"French and German form of Roman Latin Sabina , meaning `` Sabine ; a follower of another religion . ''",French
SACHA,female,"French form of Russian unisex Sasha , meaning `` defender of mankind . ''",French
SALOMÉ,female,"French form of Hebrew Salome , meaning `` peaceful . ''",French
SANDRINE,female,"Short form of French Alexandrine , meaning `` defender of mankind . ''",French
SÉBASTIENNE,female,"Feminine form of French Sébastien , meaning `` from Sebaste , '' a town in Asia Minor",French
SERAPHINE,female,"Feminine form of French Séraphin , meaning `` burning one '' or `` serpent . ''",French
SÉVÉRINE,female,"Feminine form of French Séverin , meaning `` stern . ''",French
SIBYLLE,female,"French and German form of Greek Sibylla , meaning `` prophetess . ''",French
SIDONIE,female,"French feminine form of Roman Latin Sidonius , meaning `` of Sidon . ''",French
SIMONE,female,"Feminine form of French Simon , meaning `` hearkening . '' Compare with other forms of Simone",French
SIMONETTE,female,"Pet form of French Simone , meaning `` hearkening . ''",French
SOLANGE,female,"French form of Latin Sollemnia , meaning `` religious . ''",French
SOPHIE,female,"French form of Greek Sophia , meaning `` wisdom . ''",French
STÉPHANIE,female,"Feminine form of French Stéphane , meaning `` crown . ''",French
SUZANNE,female,"French form of Latin Susanna , meaning `` lily . ''",French
SUZETTE,female,"Pet form of French Suzanne , meaning `` lily . ''",French
SYBILLE,female,"French form of Greek Sibylla , meaning `` prophetess . ''",French
SYLVAINE,female,"Feminine form of French Sylvain , meaning `` from the forest . ''",French
SYLVIANE,female,"Variant spelling of French Sylvaine , meaning `` from the forest . ''",French
SYLVIANNE,female,French compound name composed of Sylvie `` from the forest '' and Anne `` favor ; grace . '',French
SYLVIE,female,"French form of Roman Latin Silvia , meaning `` from the forest . ''",French
TATIENNE,female,"French form of Latin Tatiana , probably meaning `` father . ''",French
THÉRÈSE,female,"French form of Spanish Theresa , meaning `` harvester . ''",French
TILDE,female,"Short form of Norman French Matilde , meaning `` mighty in battle . ''",French
TOINETTE,female,"Short form of French Antoinette , possibly meaning `` invaluable . ''",French
URILLA,female,"Possibly a French feminine form of Hebrew Uriah , meaning `` flame of Jehovah '' or `` God is my light . ''",French
VALENTINE,female,"Feminine form of French Valentin , meaning `` healthy , strong . '' Compare with masculine Valentine",French
VALÉRIE,female,"Feminine form of French Valère , meaning `` to be healthy , to be strong . ''",French
VÉRÈNE,female,"French form of Swiss/German Verena , possibly meaning `` to fear , to respect . ''",French
VÉRONIQUE,female,"French form of Latin Veronica , meaning `` bringer of victory . ''",French
VEVA,female,"Pet form of French Geneviève , possibly meaning `` race of women . ''",French
VICTOIRE,female,"French form of Latin Victoria , meaning `` conqueror '' or `` victory . ''",French
VICTORINE,female,"French feminine form of Roman Victorinus , meaning `` conqueror . ''",French
VIOLETTE,female,"French diminutive form of Latin Viola , meaning `` violet color '' or `` violet flower . ''",French
VIRGINIE,female,"French form of Latin Virginia , meaning `` maiden , virgin . ''",French
VIVIANE,female,"French form of Latin Viviana , meaning '' alive ; animated ; lively . ''",French
VIVIENNE,female,"Variant spelling of French Viviane , meaning `` alive , animated , lively . ''",French
VIVIETTE,female,"Pet form of French Viviane , meaning `` alive , animated , lively . ''",French
YASMINA,female,"French form of Arabic Yasmin , meaning `` jasmine flower , '' a plant in the olive family",French
YASMINE,female,"Variant spelling of French Yasmina , meaning `` jasmine flower , '' a plant in the olive family",French
YGRAINE,female,"Variant spelling of French Igraine , meaning `` maiden , virgin . '' In Arthurian legend , this is the name of the wife of Uther Pendragon",French
YOLANDE,female,"Old French form of Greek Iolanthe , meaning `` violet flower . ''",French
YSEULT,female,"Variant spelling of French Iseult , meaning `` ice battle . ''",French
YVETTE,female,"Feminine form of French Yves , meaning `` yew tree . ''",French
YVONNE,female,"Feminine form of French Yvon , meaning `` yew tree . ''",French
ZÉPHYRINE,female,"French feminine form of Roman Latin Zephyrinus , meaning `` west wind . ''",French
ZOÉ,female,"French form of Greek Zoe , meaning `` life . ''",French
ÁED,male,"Old form of Gaelic Aodh , meaning `` fire . ''",Gaelic
ÁEDÁN,male,"Diminutive form of Gaelic Áed , meaning `` little fire . ''",Gaelic
ÁEDH,male,"Variant spelling of Gaelic Áed , meaning `` fire . ''",Gaelic
AILILL,male,"Irish Gaelic name meaning `` elf . '' In mythology , this is the name of the husbandof queen Méabh",Gaelic
AILPEIN,male,"Old Gaelic name , possibly of Pictish origin , meaning `` white . ''",Gaelic
ALASTER,male,"Gaelic form of Latin Alexandrus , meaning `` defender of mankind . ''",Gaelic
ALEISTER,male,"Gaelic form of Latin Alexandrus , meaning `` defender of mankind . ''",Gaelic
ALESTER,male,"Gaelic form of Latin Alexandrus , meaning `` defender of mankind . ''",Gaelic
ALISTAR,male,"Gaelic form of Latin Alexandrus , meaning `` defender of mankind . ''",Gaelic
ALISTER,male,"Gaelic form of Latin Alexandrus , meaning `` defender of mankind . ''",Gaelic
ALISTIR,male,"Gaelic form of Latin Alexandrus , meaning `` defender of mankind . ''",Gaelic
ANÉISLIS,male,"Irish Gaelic name derived from a byname meaning `` careful , thoughtful . '' Stanislas and Standish are Anglicized forms",Gaelic
AODH,male,"Modern Irish and Scottish Gaelic form of Old Gaelic Áed , meaning `` fire . '' In Celtic mythology , this is the name of a sun god",Gaelic
AONGHAS,male,"Gaelic name composed of the elements aon `` excellent '' and gais `` boldness , valor , '' hence `` excellent valor . '' In Celtic mythology , this is the name of a god of youth and love . Also spelled Aonghus . Translated by the Scottish into Aeneas",Gaelic
AONGHUS,male,"Variant spelling of Gaelic Aonghas , meaning `` excellent valor . ''",Gaelic
ATHOL,male,"Scottish surname transferred to unisex forename use , derived from the name of a district of Perthshire , Scotland , composed of the Gaelic elements ath `` ford '' and al `` rock , stone , '' hence `` ford of the rock ; rock-ford . ''",Gaelic
BARRA,male,"Short form of Gaelic Fionnbarra , meaning `` fair-headed . '' Compare with feminine Barra",Gaelic
BEARNARD,male,"Gaelic form of French Bernard , meaning `` bold as a bear . ''",Gaelic
BIORNA,male,"Gaelic name of Nordic origin , meaning `` bear . ''",Gaelic
BRÁDACH,male,"Gaelic name , possibly from a contracted form of brághadach , meaning `` large-chested . ''",Gaelic
BRAONÁN,male,"Gaelic name composed of the elements braon `` drop , moisture , '' and a diminutive suffix , hence `` little drop . ''",Gaelic
BRIANT,male,"Gaelic name composed of bri `` exalted '' and the termination -ant implying the state of that to which it is affixed , hence `` the exalted one . '' Compare with another form of Briant",Gaelic
BRÓGÁN,male,"Old Gaelic name composed of the word br�g `` shoe , '' and a diminutive suffix , hence `` little shoe . ''",Gaelic
CAINNEACH,male,"Variant spelling of Gaelic Cainnech , meaning `` comely ; finely made . ''",Gaelic
CAINNECH,male,Gaelic byname meaning `` comely ; finely made . '' Kenneth is an Anglicized form,Gaelic
CAISIDE,male,Gaelic byname derived from the word cas meaning `` curly ( -headed . ) '' Cassidy is the Anglicized form,Gaelic
CAOINDEALBHÁN,male,"Old Gaelic name composed of caoin `` comely , fair , '' dealbh `` form , '' and a diminutive suffix , hence `` little fair-formed one . ''",Gaelic
CAOLÁN,male,"Gaelic name composed of the word caol `` narrow '' and a diminutive suffix , hence `` little slender one . ''",Gaelic
CAOLLADHE,male,"Old Gaelic name derived from the element caol , meaning `` slender . ''",Gaelic
CAOMH,male,"Gaelic name derived from the word caomh , meaning `` beloved , comely . ''",Gaelic
CATHARNACH,male,"Gaelic byname meaning `` soldier , warlike . ''",Gaelic
CATHASACH,male,"Gaelic byname meaning `` vigilant , wakeful . ''",Gaelic
CEALLAIR,male,"Old Gaelic occupational name transferred to forename use , derived from the word cealloir , meaning `` superior of a church cell . ''",Gaelic
CEARNAIGH,male,"Gaelic name derived from the word cearnach , meaning `` victor , winner . ''",Gaelic
CIAN,male,"Irish Gaelic name meaning `` ancient , distant . '' In mythology , this is the name of the son-in-law of Brian Boru",Gaelic
CIAR,male,"Old Gaelic name derived from the word ciar , meaning `` black . ''",Gaelic
CIARÁN,male,"Irish name composed of Gaelic ciar `` black '' and a diminutive suffix , hence `` little black one . ''",Gaelic
CIARDHA,male,"Gaelic name derived from the word ciar , meaning `` black , dark . ''",Gaelic
COINÍN,male,"Old Gaelic byname composed of the word cano `` wolf '' and a diminutive suffix , hence `` little wolf . ''",Gaelic
COINNEACH,male,"Variant form of Gaelic Cainneach , meaning `` comely ; finely made . ''",Gaelic
CÓNÁN,male,"Irish Gaelic name which was originally a byname derived from a diminutive form of cú `` hound , '' hence `` little hound . ''",Gaelic
CONRÍ,male,"Gaelic name composed of the elements conn `` chief , head , hound '' and ri `` king , '' hence `` chief-king '' or `` hound-king . ''",Gaelic
CUIDIGHTHEACH,male,Old Gaelic name meaning `` helper . '',Gaelic
DAIMHÍN,male,"Old Gaelic byname meaning `` little fawn , little stag . ''",Gaelic
DÁLACH,male,"Gaelic name derived from the word dál , meaning `` assembly , gathering . ''",Gaelic
DEORADHÁN,male,"Old Gaelic name composed of the elements deòradh `` exile , outlaw , pilgrim , '' and a diminutive suffix , hence `` little exile '' or `` little pilgrim . ''",Gaelic
DIARMAID,male,"Irish name probably composed of the Gaelic elements dí `` without '' and airmait `` envy , '' hence `` without envy . '' In mythology , this is the name of a High King of Ireland",Gaelic
DIARMUID,male,"Early Gaelic form of Irish Diarmaid , meaning `` without envy . ''",Gaelic
DOMHNALL,male,"Scottish Gaelic name composed of the Celtic elements dubno `` world '' and val `` rule , '' hence `` world ruler . ''",Gaelic
DONNDUBHÁN,male,"Old Gaelic name composed of the elements donn `` brown , '' and dubh `` dark , black , '' and the diminutive suffix -án , hence `` little dark brown one . ''",Gaelic
DUIBHÍN,male,Gaelic byname meaning `` little black one . '',Gaelic
EACHTHIGHEARNA,male,"Gaelic name composed of the elements each `` horse , '' and tighearna `` lord , master , '' hence `` lord of horses . ''",Gaelic
FEARCHAR,male,"Gaelic name composed of the elements fear `` man '' and char `` dear , '' hence `` dear man . ''",Gaelic
FEARDORCHA,male,"Gaelic name composed of the elements fear `` man '' and dorcha `` dark , '' hence `` dark man . ''",Gaelic
FEARGHAL,male,"Gaelic name composed of the elements fear `` man '' and gal `` valor , '' hence `` man of valor . ''",Gaelic
FEARGHAS,male,"Variant spelling of Gaelic Fearghus , meaning `` strong-man . ''",Gaelic
FEARGHUS,male,"Gaelic name composed of the elements fear `` man '' and gus `` ability , strength , vigor , '' hence `` strong-man . ''",Gaelic
FÉIDHLIM,male,"Short form of Irish Gaelic Féidhlimidh , possibly meaning `` hospitable . ''",Gaelic
FÉIDHLIMIDH,male,"Irish Gaelic name , possibly derived from the word féile , meaning `` hospitable . ''",Gaelic
FINN,male,"Old Irish form of modern Gaelic Fionn , meaning `` fair , white . '' In Irish legend , this is the name of a hero , Finn MacCool , who became all-knowing after eating a magic salmon . Compare with another form of Finn",Gaelic
FINNÉN,male,"Gaelic name composed of Old Irish Finn `` white '' and a diminutive suffix , hence `` little white one . ''",Gaelic
FION,male,"Variant spelling of Gaelic Fionn , meaning `` fair , white . ''",Gaelic
FIONN,male,"Modern Gaelic form of Old Irish Finn , meaning `` fair , white . ''",Gaelic
FIONNAGÁN,male,"Double diminutive of Gaelic Fionn , meaning `` tiny little white one . ''",Gaelic
FIONNBARR,male,"Gaelic name composed of the elements Fionn `` white '' and bàrr ( Old Irish barr ) `` head , top , '' hence `` fair-headed . ''",Gaelic
FIONNBARRA,male,"Variant spelling of Gaelic Fionnbarr , meaning `` fair-headed . ''",Gaelic
FIONNBHARR,male,"Variant spelling of Gaelic Fionnbarr , meaning `` fair-headed . ''",Gaelic
FIONNGHALL,male,"Gaelic name composed of the elements Fionn `` fair , white '' and gal `` valor , '' hence `` white valor . ''",Gaelic
FIONNLAGH,male,"Gaelic name composed of the elements Fionn `` fair , white '' and laoch `` champion , hero , '' hence `` white champion . '' This is the conventional translation ; however , there used to be an old Gaelic word lagh ( now obsolete ) that was borrowed from the Old English term iar lagh ( iar `` set , ready '' + lagh `` law '' ) ; therefore , this name could have originally meant `` white law ( man ) . ''",Gaelic
FLOIN,male,"Old Gaelic byname meaning `` red , ruddy . ''",Gaelic
FRANG,male,"Scottish Gaelic form of Latin Franciscus , meaning `` French . ''",Gaelic
GALLCHOBHAR,male,"Gaelic name composed of the elements gall `` Gaul , Lowlander , stranger '' and cabhair `` help , support , '' hence `` foreign help . ''",Gaelic
GILLEASBAIG,male,"Contracted form of Gaelic Gille Easbaig , meaning `` bishop 's servant . ''",Gaelic
GRÁDA,male,Old Gaelic byname meaning `` noble . '',Gaelic
LABHRAIDH,male,"Gaelic name meaning `` he speaks . '' In Irish legend , this is the name ofa sacred king connected with the Leinstermen and the taking of Tara . He was alsoknown as Labhraidh Lorc ( `` he speaks fierce '' )",Gaelic
LAIGHEAN,male,"Old Gaelic byname meaning `` spear , javelin . ''",Gaelic
LEANNÁN,male,Gaelic byname meaning `` little cloak . '',Gaelic
MAEDÓC,male,Old Irish Gaelic name meaning `` my dear Áedh . '',Gaelic
MAEL-MAEDÓC,male,Old Irish Gaelic name meaning `` devotee of Maedóc . '',Gaelic
MAITIÚ,male,"Old Gaelic form of French Mathieu , meaning `` gift of God . ''",Gaelic
MAOL-MAODHÓG,male,"Modern Gaelic form of Old Irish Gaelic Mael-Maedóc , meaning `` devotee of Maedóc . ''",Gaelic
MARCAS,male,"Irish Gaelic form of Latin Marcus , meaning `` defense '' or `` of the sea . ''",Gaelic
